1134742;0;;;1866.6;;2019-03-09 23:06:41;8003437225260;ALA001;Sur commande;1
1024186;3;;;520.2;;2019-03-09 23:06:41;4242003674888;KI87VVF30;;1
1069052;4;;;18.93;115072;2019-03-09 23:06:41;8710103821045;HD2590.90;;1
1021850;14;;;1501.0;;2019-03-09 23:06:41;3000000113783;TITANIUM701BN;;1
1124749;0;;;105.17;;2019-03-09 23:06:41;2900000004344;XVR5104HS4KLX;;1
92703;0;;;179.1;;2019-03-09 23:06:41;5420035220542;MASK8BL;;1
87755;0;;;0.22;;2019-03-09 23:06:41;3173109011011;310901B1;;100
1005275;0;;;12.0;;2019-03-09 23:06:41;9876540002467;POLAIREGXLPC;;1
1134743;0;;;2419.2;;2019-03-09 23:06:41;8003437225277;ALA002;Sur commande;1
1094890;0;;;63.9;;2019-03-09 23:06:41;5709009002934;S8ATMBL;Sur commande;2
103130;0;;;199.8;48394;2019-03-09 23:06:41;3544057691073;CHCC700NW;Sur commande;1
1033456;0;;;402.3;;2019-03-09 23:06:41;4242003697443;ED659FJB1E;Sur commande;1
1040267;2;;;106.76;;2019-03-09 23:06:41;4008146022098;4810;;1
1035910;27;;;248.4;1016839;2019-03-09 23:06:41;8003437205132;WRFC3C26;;1
1123335;7;;;16.23;;2019-03-09 23:06:41;3094570142625;NEOCOOKMILK;;1
98931;3;;;13.13;;2019-03-09 23:06:41;8007411803581;PAEU0275;;1
1035907;38;;;291.6;;2019-03-09 23:06:41;8003437204227;WFC3C22P;;1
7359;0;;;38.0;;2019-03-09 23:06:41;3608500129855;43305;;1
94099;0;;;30.0;;2019-03-09 23:06:41;0000000000072;KAKEMONODO;;1
1131145;0;;;4774.73;;2019-03-09 23:06:41;2900000008427;RANGERNEO2;Sur commande;1
1012472;1;;;117.82;35538;2019-03-09 23:06:41;3221610122808;RU5053EH;;1
120085;0;;;90.55;;2019-03-09 23:06:41;3304810107018;XVHD55M;;1
1053692;0;;;9.86;;2019-03-09 23:06:41;2900000000377;PFA135;;1
94804;5;;;18.08;;2019-03-09 23:06:41;3168430687721;SM1808;;1
1039146;0;;;5.03;;2019-03-09 23:06:41;3224780038160;SBI53;;1
1068259;2;;;282.6;;2019-03-09 23:06:41;8016361946484;RF8P/E;;1
1041507;6;;;414.0;1041508;2019-03-09 23:06:41;8806088445694;RB34K6032SS;;1
1032813;0;;;108.0;91465;2019-03-09 23:06:41;3660767953994;GE2626W;Sur commande;1
1107734;0;;;434.7;1021824;2019-03-09 23:06:41;4242006273477;VVA86E760;Sur commande;1
1122590;0;;;15.64;875;2019-03-09 23:06:41;4242005108787;TSM6A013B;;1
118443;4;;;18.94;;2019-03-09 23:06:41;4210201217336;D10513K;;1
88535;0;;;4.5;;2019-03-09 23:06:41;3185288500408;E850040;;1
1018254;5;;;290.7;90249;2019-03-09 23:06:41;7332543463565;ERN2111AOW;;1
1101832;6;;;553.5;;2019-03-09 23:06:41;0859991539360;AWZ8CDS/PRO;;1
1136018;0;;;618.3;;2019-03-09 23:06:41;8020283045941;PRF0146265;Sur commande;1
